QuestionText,Option1,Option2,Option3,Option4,CorrectAnswerIndex
What is the capital of France?,Paris,Madrid,Berlin,Rome,0
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,1
What is 5 + 3?,6,8,9,10,1
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,2
Which animal is known as the King of the Jungle?,Lion,Tiger,Elephant,Cheetah,0
How many continents are there?,5,6,7,8,2
What color is the sky on a clear day?,Green,Blue,Red,Yellow,1
Which fruit is known for having its seeds on the outside?,Apple,Banana,Strawberry,Grape,2
What is H2O?,Oxygen,Water,Hydrogen,Carbon,1
Which month has 28 or 29 days?,January,February,March,April,1
Which shape has three sides?,Circle,Square,Triangle,Rectangle,2
What do bees make?,Honey,Milk,Chocolate,Butter,0
What is 10 divided by 2?,2,4,5,8,2
What is the name of Mickey Mouse's pet dog?,Pluto,Goofy,Donald,Minnie,0
What is the largest mammal?,Elephant,Whale,Shark,Dolphin,1
Which language is primarily spoken in Spain?,French,Italian,Spanish,German,2
How many legs does a spider have?,6,8,10,12,1
What is the capital of Italy?,Rome,Venice,Paris,Naples,0
What is the opposite of 'hot'?,Warm,Cool,Cold,Freezing,2
Which country is famous for pizza?,France,Germany,USA,Italy,3
What do you call a baby cat?,Kitten,Puppy,Cub,Calf,0
Which season comes after winter?,Summer,Autumn,Spring,Rainy,2
What is the smallest unit of matter?,Molecule,Atom,Particle,Electron,1
What is 12 times 2?,22,24,26,28,1
How many hours are there in a day?,20,22,24,26,2
